sale_id,sale_date,product_name,city_name,price,total_amount,Product_Total_Sales
50,2023-01-06,"Caramel Syrup (250ml)",Bangalore,300,4800,4800
60,2023-01-07,"Caramel Syrup (250ml)",Kanpur,300,4200,9000
92,2023-01-11,"Caramel Syrup (250ml)",Bangalore,300,4500,13500
174,2023-01-19,"Caramel Syrup (250ml)",Chennai,300,2100,15600
207,2023-01-23,"Caramel Syrup (250ml)",Pune,300,3300,18900
249,2023-01-26,"Caramel Syrup (250ml)",Jaipur,300,2100,21000
273,2023-01-28,"Caramel Syrup (250ml)",Pune,300,2100,28500
274,2023-01-28,"Caramel Syrup (250ml)",Pune,300,5400,28500
279,2023-01-29,"Caramel Syrup (250ml)",Kolkata,300,5700,34200
326,2023-02-01,"Caramel Syrup (250ml)",Surat,300,4800,39000
355,2023-02-03,"Caramel Syrup (250ml)",Pune,300,3600,42600
391,2023-02-08,"Caramel Syrup (250ml)",Mumbai,300,3300,47400
390,2023-02-08,"Caramel Syrup (250ml)",Pune,300,1500,47400
428,2023-02-11,"Caramel Syrup (250ml)",Chennai,300,3000,50400
447,2023-02-13,"Caramel Syrup (250ml)",Chennai,300,4200,54600
489,2023-02-16,"Caramel Syrup (250ml)",Chennai,300,3900,58500
504,2023-02-18,"Caramel Syrup (250ml)",Delhi,300,2100,60600
511,2023-02-19,"Caramel Syrup (250ml)",Chennai,300,4200,64800
544,2023-02-22,"Caramel Syrup (250ml)",Indore,300,4200,69000
574,2023-02-24,"Caramel Syrup (250ml)",Chennai,300,4800,73800
611,2023-02-27,"Caramel Syrup (250ml)",Chennai,300,3600,85200
610,2023-02-27,"Caramel Syrup (250ml)",Jaipur,300,5100,85200
609,2023-02-27,"Caramel Syrup (250ml)",Bangalore,300,2700,85200
650,2023-03-02,"Caramel Syrup (250ml)",Delhi,300,3900,89100
678,2023-03-04,"Caramel Syrup (250ml)",Chennai,300,4200,93300
717,2023-03-07,"Caramel Syrup (250ml)",Delhi,300,5700,99000
751,2023-03-10,"Caramel Syrup (250ml)",Pune,300,5700,104700
779,2023-03-12,"Caramel Syrup (250ml)",Pune,300,5400,110100
788,2023-03-13,"Caramel Syrup (250ml)",Bangalore,300,3300,113400
836,2023-03-17,"Caramel Syrup (250ml)",Chennai,300,3600,120900
835,2023-03-17,"Caramel Syrup (250ml)",Pune,300,3900,120900
880,2023-03-22,"Caramel Syrup (250ml)",Pune,300,4800,125700
939,2023-03-29,"Caramel Syrup (250ml)",Pune,300,4200,129900
954,2023-03-30,"Caramel Syrup (250ml)",Delhi,300,3000,132900
1015,2023-04-03,"Caramel Syrup (250ml)",Nagpur,300,1800,138000
1016,2023-04-03,"Caramel Syrup (250ml)",Delhi,300,3300,138000
1030,2023-04-05,"Caramel Syrup (250ml)",Chennai,300,5100,143100
1080,2023-04-09,"Caramel Syrup (250ml)",Chennai,300,2400,145500
1115,2023-04-12,"Caramel Syrup (250ml)",Pune,300,4200,149700
1120,2023-04-13,"Caramel Syrup (250ml)",Nagpur,300,4800,154500
1134,2023-04-14,"Caramel Syrup (250ml)",Chennai,300,5700,160200
1147,2023-04-15,"Caramel Syrup (250ml)",Jaipur,300,5400,165600
1195,2023-04-21,"Caramel Syrup (250ml)",Jaipur,300,4500,175200
1196,2023-04-21,"Caramel Syrup (250ml)",Chennai,300,5100,175200
1235,2023-04-24,"Caramel Syrup (250ml)",Delhi,300,5100,184800
1236,2023-04-24,"Caramel Syrup (250ml)",Chennai,300,4500,184800
1269,2023-04-27,"Caramel Syrup (250ml)",Jaipur,300,2400,187200
1317,2023-05-01,"Caramel Syrup (250ml)",Chennai,300,2400,189600
1337,2023-05-02,"Caramel Syrup (250ml)",Delhi,300,1500,195600
1338,2023-05-02,"Caramel Syrup (250ml)",Jaipur,300,4500,195600
1360,2023-05-04,"Caramel Syrup (250ml)",Kanpur,300,5100,205200
1359,2023-05-04,"Caramel Syrup (250ml)",Jaipur,300,4500,205200
1381,2023-05-06,"Caramel Syrup (250ml)",Bangalore,300,2700,207900
1394,2023-05-07,"Caramel Syrup (250ml)",Pune,300,5400,213300
1417,2023-05-09,"Caramel Syrup (250ml)",Chennai,300,2100,215400
1433,2023-05-10,"Caramel Syrup (250ml)",Pune,300,5700,221100
1461,2023-05-13,"Caramel Syrup (250ml)",Chennai,300,5700,226800
1472,2023-05-14,"Caramel Syrup (250ml)",Bangalore,300,5100,231900
1485,2023-05-15,"Caramel Syrup (250ml)",Chennai,300,3900,235800
1520,2023-05-18,"Caramel Syrup (250ml)",Pune,300,3900,243900
1519,2023-05-18,"Caramel Syrup (250ml)",Bangalore,300,4200,243900
1530,2023-05-19,"Caramel Syrup (250ml)",Hyderabad,300,5400,249300
1572,2023-05-23,"Caramel Syrup (250ml)",Delhi,300,4800,254100
1600,2023-05-26,"Caramel Syrup (250ml)",Chennai,300,5100,259200
1620,2023-05-28,"Caramel Syrup (250ml)",Bangalore,300,3900,263100
1659,2023-06-01,"Caramel Syrup (250ml)",Jaipur,300,5700,268800
1673,2023-06-02,"Caramel Syrup (250ml)",Jaipur,300,3600,276300
1672,2023-06-02,"Caramel Syrup (250ml)",Chennai,300,3900,276300
1701,2023-06-04,"Caramel Syrup (250ml)",Surat,300,2400,283500
1700,2023-06-04,"Caramel Syrup (250ml)",Delhi,300,4800,283500
1716,2023-06-05,"Caramel Syrup (250ml)",Surat,300,5700,289200
1727,2023-06-06,"Caramel Syrup (250ml)",Chennai,300,3000,294600
1726,2023-06-06,"Caramel Syrup (250ml)",Bangalore,300,2400,294600
1745,2023-06-07,"Caramel Syrup (250ml)",Jaipur,300,2400,297000
1765,2023-06-09,"Caramel Syrup (250ml)",Jaipur,300,5100,302100
1771,2023-06-10,"Caramel Syrup (250ml)",Jaipur,300,3600,315900
1772,2023-06-10,"Caramel Syrup (250ml)",Chennai,300,5400,315900
1770,2023-06-10,"Caramel Syrup (250ml)",Pune,300,4800,315900
1808,2023-06-14,"Caramel Syrup (250ml)",Hyderabad,300,4800,320700
1835,2023-06-16,"Caramel Syrup (250ml)",Chennai,300,3600,324300
1842,2023-06-17,"Caramel Syrup (250ml)",Pune,300,1500,325800
1855,2023-06-19,"Caramel Syrup (250ml)",Chennai,300,3600,329400
1859,2023-06-20,"Caramel Syrup (250ml)",Chennai,300,6000,338700
1860,2023-06-20,"Caramel Syrup (250ml)",Chennai,300,3300,338700
1920,2023-06-28,"Caramel Syrup (250ml)",Surat,300,1500,340200
2034,2023-07-08,"Caramel Syrup (250ml)",Ahmedabad,300,1500,341700
2045,2023-07-09,"Caramel Syrup (250ml)",Jaipur,300,3300,345000
2051,2023-07-10,"Caramel Syrup (250ml)",Delhi,300,2700,347700
2111,2023-07-16,"Caramel Syrup (250ml)",Jaipur,300,2100,349800
2138,2023-07-18,"Caramel Syrup (250ml)",Jaipur,300,1800,351600
